,day,cage,mouse,trialname1,trialname2,trialtype,vectorangle,vectordis
3,Day7,C4620083,M2,Vanilla,Vanilla,NonTMT,100.0,154.58014683534574
4,Day7,C4620083,M2,Vanilla,PeanutButter,NonTMT,82.0,151.39586691041785
5,Day7,C4620083,M2,Vanilla,TMT,TMT,88.0,131.79837538758977
6,Day7,C4620083,M2,PeanutButter,Vanilla,NonTMT,90.0,109.00764326381798
7,Day7,C4620083,M2,PeanutButter,PeanutButter,NonTMT,93.0,137.21270752382915
8,Day7,C4620083,M2,PeanutButter,TMT,TMT,88.0,94.4295796123708
0,Day7,C4620083,M3,Water,Vanilla,NonTMT,46.0,61.90337845200129
1,Day7,C4620083,M3,Water,PeanutButter,NonTMT,136.0,188.79928617436036
2,Day7,C4620083,M3,Water,TMT,TMT,104.0,97.32961488994461
3,Day7,C4620083,M3,Vanilla,Vanilla,NonTMT,135.0,188.6404042249973
4,Day7,C4620083,M3,Vanilla,PeanutButter,NonTMT,43.0,90.92003178357332
5,Day7,C4620083,M3,Vanilla,TMT,TMT,75.0,119.28895531825215
6,Day7,C4620083,M3,PeanutButter,Vanilla,NonTMT,106.0,98.51391410318945
7,Day7,C4620083,M3,PeanutButter,PeanutButter,NonTMT,75.0,119.10834015900349
8,Day7,C4620083,M3,PeanutButter,TMT,TMT,82.0,52.26687699294405
0,Day7,C4620083,M4,Water,Vanilla,NonTMT,83.0,102.33274002955385
1,Day7,C4620083,M4,Water,PeanutButter,NonTMT,97.0,129.66725917769185
2,Day7,C4620083,M4,Water,TMT,TMT,88.0,98.11884139091822
3,Day7,C4620083,M4,Vanilla,Vanilla,NonTMT,98.0,130.18399006153186
4,Day7,C4620083,M4,Vanilla,PeanutButter,NonTMT,85.0,127.4816166328536
5,Day7,C4620083,M4,Vanilla,TMT,TMT,88.0,112.12844980822959
6,Day7,C4620083,M4,PeanutButter,Vanilla,NonTMT,92.0,101.70909389820417
7,Day7,C4620083,M4,PeanutButter,PeanutButter,NonTMT,88.0,111.71960721337861
8,Day7,C4620083,M4,PeanutButter,TMT,TMT,95.0,93.31338719794199
0,Day7,C4620081,M2,Water,Vanilla,NonTMT,87.0,48.94026455707508
1,Day7,C4620081,M2,Water,PeanutButter,NonTMT,95.0,69.07033067352113
2,Day7,C4620081,M2,Water,TMT,TMT,86.0,47.872833641779785
3,Day7,C4620081,M2,Vanilla,Vanilla,NonTMT,93.0,67.90040881566576
4,Day7,C4620081,M2,Vanilla,PeanutButter,NonTMT,89.0,78.76600025413562
5,Day7,C4620081,M2,Vanilla,TMT,TMT,87.0,64.6536648279039
6,Day7,C4620081,M2,PeanutButter,Vanilla,NonTMT,87.0,48.42386958624724
7,Day7,C4620081,M2,PeanutButter,PeanutButter,NonTMT,84.0,62.95453154145979
8,Day7,C4620081,M2,PeanutButter,TMT,TMT,98.0,52.839667600126816
0,Day7,C4620081,M3,Water,Vanilla,NonTMT,83.0,73.35665719857622
1,Day7,C4620081,M3,Water,PeanutButter,NonTMT,92.0,94.05355904948453
2,Day7,C4620081,M3,Water,TMT,TMT,95.0,80.12805705222348
3,Day7,C4620081,M3,Vanilla,Vanilla,NonTMT,90.0,92.75967807693343
4,Day7,C4620081,M3,Vanilla,PeanutButter,NonTMT,84.0,100.12026756421817
5,Day7,C4620081,M3,Vanilla,TMT,TMT,87.0,89.3901145576053
6,Day7,C4620081,M3,PeanutButter,Vanilla,NonTMT,98.0,81.54746516867418
7,Day7,C4620081,M3,PeanutButter,PeanutButter,NonTMT,89.0,90.98895253079134
8,Day7,C4620081,M3,PeanutButter,TMT,TMT,84.0,71.5073586989482
0,Day7,C4620081,M4,Water,Vanilla,NonTMT,63.0,124.50575395725451
1,Day7,C4620081,M4,Water,PeanutButter,NonTMT,90.0,147.67421975678707
